# Summary generated on 2021-08-22 14:19:11.809884 UTC
#    Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#   Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
2459439.304869080894; 2021-08-12 19:19:00.688589;     7;  PER; 140.001143; 271.633303;  46.47477;  0.9897; +58.09777;  0.2695;  62.16414;  0.7550; +38.79213;  0.0800;  59.32239;  0.2195;  80.83880;  2.0021; +63.65906;  0.0855;  41.47179;  0.1071;   28.502373; 2.1e+03;   0.966320;  0.0096; 113.030916;  0.3607; 153.241607;   1.7519; 139.998896;   0.0000; 293.240503;  1.7519;   0.959953;  0.0060;  26.754304;  1.7519;   0.122304;     nan;   56.044792; 4.3e+03;   0.006477;  0.0021; 152.167589;     nan;  -0.288638;  0.0604;  45.78099;  0.9821; +58.56437;  0.2781;  23.60745;  0.6355;  20.85564;  0.0929;  60.47296;  0.2157;  60.68063;  0.6190;    45.646798;  0.0087;    20.428179;  0.0141; 118.0217;    0.59;    44.993570;  0.0034;    20.026110;  0.0078;  87.9228;    0.28;     1.42;  -3.60;  99.6463; 0.611; 2.06e-03; 14.33;        63.66;   True;   True;    3; HR001H,HR001Z,SI0002
2459439.305745327380; 2021-08-12 19:20:16.396286;     7;  PER; 140.001985; 267.392779;  45.84663;  0.2502; +58.16581;  0.0438;  61.79661;  0.1409; +38.97313;  0.0854;  59.31907;  0.2686;  80.07722;  0.4843; +64.00458;  0.0231;  41.50906;  0.2621;   31.642500; 2.6e+02;   0.969546;  0.0240; 112.878423;  0.0970; 154.220216;   0.6751; 139.999702;   0.0000; 294.219918;  0.6751;   0.963631;  0.0020;  25.775682;  0.6751;   0.100966;     nan;   62.321368; 5.3e+02;   0.005537;  0.0036; 177.994593;     nan;  -0.305087;  0.1341;  45.19377;  0.2449; +58.66537;  0.0377;  21.99148;  0.1043;  21.12128;  0.0933;  60.45954;  0.2641;  59.59923;  0.1733;    46.867843;  0.0005;    15.850473;  0.0012; 111.8703;    0.10;    46.462495;  0.0005;    15.613800;  0.0007;  93.0472;    0.06;     0.92;  -2.07;  95.7071; 0.859; 3.53e-04; 67.39;        47.46;   True;   True;    3; HR000P,HR001Z,SI0002
2459439.305751232896; 2021-08-12 19:20:16.906522;     7;  PER; 140.001990; 265.545442;  44.68177;  0.6150; +58.24472;  0.3750;  61.09554;  0.3713; +39.26818;  0.4042;  59.08845;  0.6510;  78.73459;  0.8720; +64.71540;  0.7902;  41.36329;  0.5296;   22.114355; 83.0068;   0.956156;  0.0473; 112.499249;  0.7917; 155.753702;   0.8373; 139.999611;   0.0001; 295.753313;  0.8373;   0.969585;  0.0029;  24.242274;  0.8373;   0.163912;     nan;   43.259125; 1.7e+02;   0.009477;  0.0142; 103.994905;     nan;  -0.226696;  0.2720;  43.91841;  0.6335; +58.77448;  0.3729;  21.17750;  0.2939;  17.58987;  0.4115;  60.23909;  0.6400;  59.01657;  0.3039;    43.154849;  0.0012;    14.016413;  0.0006; 108.4840;    0.07;    42.984819;  0.0003;    13.926687;  0.0008; 101.9916;    0.06;     0.36;  -0.51; 104.8610; 0.558; 3.20e-05; 74.64;        91.15;   True;   True;    3; HR0002,HR000D,HR0010
2459439.307380250189; 2021-08-12 19:22:37.653616;     7;  PER; 140.003555; 286.856593;  45.78151;  0.1040; +57.47750;  0.1896;  61.44217;  0.0505; +38.34197;  0.1935;  59.28937;  0.2064;  78.85402;  0.1054; +63.33391;  0.1275;  41.15860;  0.2741;   15.568485; 72.7761;   0.938067;  0.0248; 113.742986;  0.1251; 154.148489;   0.4168; 140.001410;   0.0000; 294.149898;  0.4168;   0.964208;  0.0010;  25.847743;  0.4168;   0.295898;     nan;   30.172762; 1.5e+02;   0.016045;  0.0043;  61.428536;     nan;  -0.148255;  0.1348;  44.73454;  0.1002; +57.77488;  0.1842;  28.98278;  0.1205;  13.39682;  0.1528;  60.50581;  0.2029;  59.98786;  0.1685;    31.617020;  0.0012;    34.715930;  0.0002; 114.3382;    0.13;    31.094500;  0.0008;    34.379927;  0.0004;  98.7262;    0.11;     1.24;  -1.30; 104.9807; 0.599; 2.61e-04; 20.49;        79.59;   True;   True;    2; IL0002,IL0004
2459439.307606001385; 2021-08-12 19:22:57.158520;     7;  PER; 140.003771; 266.901723;  46.50663;  0.0144; +57.25920;  0.0152;  61.81063;  0.0080; +38.00046;  0.0159;  59.06984;  0.0170;  79.69237;  0.0168; +62.90609;  0.0118;  40.85080;  0.0223;   10.785569;  0.2332;   0.911066;  0.0020; 113.961538;  0.0099; 152.630237;   0.0447; 140.001385;  -0.0000; 292.631622;  0.0448;   0.959201;  0.0001;  27.365633;  0.0447;   0.544781;  0.0193;   20.611937;  0.4663;   0.027825;  0.0009;  35.421361;  1.1422;   0.000462;  0.0108;  45.85872;  0.0144; +57.78686;  0.0147;  21.82763;  0.0072;  19.71188;  0.0153;  60.21547;  0.0167;  60.41194;  0.0274;    46.521495;  0.0002;    14.703210;  0.0001; 113.7063;    0.02;    46.176947;  0.0000;    14.504631;  0.0000;  98.8349;    0.01;     0.74;  +0.59; 106.0129; 0.517; 2.19e-05; 53.70;         8.26;   True;   True;    3; HR000T,HR000W,HR001D
2459439.308484928217; 2021-08-12 19:24:13.097798;     7;  PER; 140.004615; 267.723241;  49.71349;  0.4669; +58.68224;  0.1013;  64.46655;  0.2867; +38.76320;  0.1383;  62.10491;  0.0000;  83.97330;  0.5633; +61.52432;  0.2439;  44.23628;  0.0462;   -4.310381;  0.0885;   1.219892;  0.0045; 114.219546;  0.1402; 151.937533;   0.6281; 140.002167;   0.0000; 291.939699;  0.6281;   0.947817;  0.0029;  28.058370;  0.6281;        nan;     nan;   -9.568578;  0.1766;   0.110136;  0.0033;        nan;     nan;  -1.729067;  0.0219;  49.07945;  0.4707; +59.17441;  0.0992;  19.67629;  0.2200;  18.12492;  0.1567;  63.19591;  0.0000;  61.42265;  0.0511;    44.158615;  0.0002;    15.207805;  0.0004; 109.7217;    0.03;    43.942751;  0.0003;    15.100947;  0.0007; 101.3035;    0.04;     0.44;  +0.20; 106.5544; 0.376; 1.81e-05; 82.69;        69.25;   True;   True;    2; HR000D,HR000N
2459439.308861267753; 2021-08-12 19:24:45.613534;    -1;  ...; 140.004977; 265.567702; 338.86583;  0.4477; +72.27895;  0.2599;  44.41664;  0.4731; +66.57909;  0.2254;  42.35913;  0.2015; 238.76791;  0.6854; +71.78399;  0.0823;  40.92036;  0.2465;   11.586712;  1.4761;   0.912758;  0.0226;  71.982785;  0.0477; 185.724480;   0.5797; 140.005444;   0.0000; 325.729924;  0.5797;   1.010844;  0.0005; 354.271567;  0.5797; 359.893099;  0.0848;   22.162580;  2.9516;   0.024990;  0.0120;  39.440366;  6.4864;   0.826214;  0.1154; 337.08151;  0.4394; +72.01538;  0.2526;  26.27022;  0.3725;  48.57764;  0.1471;  43.88422;  0.1948;  41.54518;  0.1545;    45.762691;  0.0002;    12.908899;  0.0004; 104.6881;    0.04;    45.694671;  0.0001;    12.860898;  0.0002;  95.0008;    0.02;     0.36;  +1.06; 100.3041; 0.453; 1.55e-05; 28.43;        15.66;   True;   True;    2; HR001L,HR001P
2459439.310535046272; 2021-08-12 19:27:10.227998;     7;  PER; 140.006584; 267.551353;  47.17817;  0.1604; +58.75423;  0.0567;  62.90432;  0.0759; +39.27794;  0.0816;  58.72587;  0.0175;  83.41945;  0.1381; +64.33489;  0.1177;  41.24834;  0.0435;   17.880973;  1.6287;   0.946646;  0.0038; 111.855206;  0.0746; 151.612090;   0.2831; 140.004356;   0.0000; 291.616446;  0.2831;   0.954023;  0.0010;  28.383852;  0.2831;   0.261117;  0.0287;   34.807923;  3.2565;   0.013035;  0.0013;  75.611412; 10.9669;  -0.153706;  0.0203;  46.47773;  0.1620; +59.27057;  0.0543;  20.99555;  0.0502;  20.44244;  0.0875;  59.87347;  0.0172;  58.86437;  0.0274;    45.839028;  0.0002;    14.260484;  0.0004; 114.1617;    0.07;    45.349623;  0.0003;    13.994532;  0.0002;  92.4911;    0.04;     1.14;  -2.17;  98.8425; 0.707; 4.76e-04; 87.56;        95.45;   True;   True;    7; HR000K,HR000M,HR000P,HR001A,HR001H,HR001U,IT0001
2459439.311299316585; 2021-08-12 19:28:16.260953;     7;  PER; 140.007318; 270.010669;  47.24027;  0.6550; +57.01984;  0.0651;  62.17946;  0.4358; +37.63871;  0.1067;  60.59999;  0.3614;  79.26530;  1.0923; +61.52833;  0.2483;  42.09951;  0.3090;  -41.590603; 1.4e+03;   1.023056;  0.0275; 115.319775;  0.2565; 153.364222;   1.3232; 140.004902;   0.0000; 293.369125;  1.3231;   0.958897;  0.0051;  26.631588;  1.3232;        nan;     nan;  -84.140102; 2.8e+03;   0.003675;  0.0050;        nan;     nan;  -0.647345;  0.1599;  46.65493;  0.6534; +57.49702;  0.0700;  23.25951;  0.3495;  20.90553;  0.1473;  61.72464;  0.3554;  61.06041;  0.2092;    47.423498;  0.0033;    16.472952;  0.0040; 110.2349;    0.24;    47.125293;  0.0023;    16.285239;  0.0030;  96.3580;    0.16;     0.67;  -2.31; 100.8565; 0.676; 2.19e-04; 41.29;        90.62;   True;   True;    4; HR000M,HR001H,HR001Z,SI0002
2459439.311728572939; 2021-08-12 19:28:53.348702;     7;  PER; 140.007730; 267.538547;  50.80611;  0.0262; +56.67655;  0.0256;  64.35036;  0.0242; +36.67626;  0.0220;  59.57972;  0.0435;  84.31368;  0.0307; +60.11183;  0.0164;  41.04618;  0.0506;   13.390400;  1.1420;   0.930520;  0.0044; 115.396163;  0.0124; 146.124035;   0.0608; 140.005238;   0.0000; 286.129274;  0.0608;   0.930371;  0.0001;  33.871786;  0.0608;   0.473086;  0.0424;   25.850429;  2.2840;   0.020115;  0.0018;  48.999422;  6.8026;  -0.115245;  0.0250;  50.20693;  0.0271; +57.23305;  0.0246;  20.21924;  0.0224;  18.25855;  0.0193;  60.70908;  0.0427;  60.38529;  0.0332;    46.436052;  0.0003;    13.831890;  0.0001; 116.1489;    0.02;    45.991184;  0.0001;    13.597073;  0.0001;  98.7629;    0.01;     1.01;  +0.07; 107.7723; 0.482; 4.60e-05; 28.17;        11.17;   True;   True;    2; HR001E,HR001M
