camera_id,datetime,image_URL
UK000Z,2021-08-21T04:02:31,
UK0002,2021-08-21T03:05:33,
UK002K,2021-08-21T02:52:15,
UK002Z,2021-08-21T02:43:18,
UK002B,2021-08-21T01:25:01,
UK002B,2021-08-21T01:18:12,
UK000Z,2021-08-20T23:28:55,
UK000Z,2021-08-20T23:28:54,
UK000Z,2021-08-20T23:28:53,
UK000Z,2021-08-20T23:28:50,
UK000Z,2021-08-20T23:28:49,
UK000Z,2021-08-20T23:28:48,
UK000Z,2021-08-20T23:28:46,
UK000Z,2021-08-20T23:28:42,
UK000Z,2021-08-20T23:28:41,
UK000Z,2021-08-20T23:16:00,
UK000Z,2021-08-20T23:13:02,
UK000Z,2021-08-20T23:13:00,
UK000Z,2021-08-20T23:12:59,
UK000Z,2021-08-20T21:58:52,
UK000C,2021-08-20T03:43:35,
UK000C,2021-08-20T03:41:59,
UK000C,2021-08-20T03:39:30,
UK0022,2021-08-20T03:38:16,
UK0022,2021-08-20T03:37:01,
UK0022,2021-08-20T03:33:30,
UK0032,2021-08-20T03:28:37,
UK0022,2021-08-20T03:28:23,
UK0022,2021-08-20T03:23:13,
UK002B,2021-08-20T03:23:13,
UK002B,2021-08-20T03:19:05,
UK002B,2021-08-20T03:17:41,
UK0026,2021-08-20T03:15:24,
UK000C,2021-08-20T03:15:06,
UK002B,2021-08-20T03:15:05,
UK0026,2021-08-20T03:12:21,
UK0022,2021-08-20T03:08:47,
UK0032,2021-08-20T03:06:55,
UK0032,2021-08-20T03:06:53,
UK0032,2021-08-20T03:06:47,
UK002B,2021-08-20T03:01:09,
UK0026,2021-08-20T02:51:22,
UK0032,2021-08-20T02:51:16,
UK0001,2021-08-20T02:50:25,
UK000H,2021-08-20T02:48:24,
UK000H,2021-08-20T02:48:23,
UK002B,2021-08-20T02:47:52,
UK0001,2021-08-20T02:47:51,
UK0001,2021-08-20T02:44:22,
UK0026,2021-08-20T02:43:00,
UK000H,2021-08-20T02:42:15,
UK000H,2021-08-20T02:42:14,
UK0026,2021-08-20T02:39:32,
UK0032,2021-08-20T02:39:16,
UK0026,2021-08-20T02:39:07,
UK0026,2021-08-20T02:38:07,
UK0032,2021-08-20T02:34:46,
UK0026,2021-08-20T02:33:39,
UK002B,2021-08-20T02:31:58,
UK0032,2021-08-20T02:27:48,
UK0026,2021-08-20T02:21:34,
UK002B,2021-08-20T02:19:14,
UK0026,2021-08-20T02:18:24,
UK0032,2021-08-20T02:18:11,
UK0022,2021-08-20T02:17:32,
UK002B,2021-08-20T02:16:48,
